Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Grenada	GRD	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															19.88205845					19.84871993					19.93201526					16.84130558					13.80401364	13.49248188	13.86777702	14.54433349	14.52271548	17.88376265	18.498453	
Greenland	GRL	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															6.153135879					6.007827649					6.063998304					5.518072559					4.891647643	4.955245749	4.902755307	5.173268153	5.207844433	4.119723625	4.0711839	
Guatemala	GTM	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															35.38114487					36.06096883					38.68793901					37.3245657					28.8113768	29.3440755	33.39399256	32.89876199	33.22722384	28.70501653	28.5220862	
Guam	GUM	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															8.154097103					8.107757685					8.341317416					8.602683607					7.512690751	7.585462949	7.731071453	8.017588922	7.503810012	8.601228603	8.591184589	
Guyana	GUY	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															26.12638273					26.07623114					26.71282476					18.16843947					15.11364962	16.40741283	17.89131994	18.69227081	17.91682885	19.72081463	19.74407395	
High income	HIC	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															17.70886374					16.31870048					15.95369829					15.89559519					16.78543709	16.69642331	16.94508769	16.95025274	16.92576537	19.45504819	19.72086518	
"Hong Kong SAR, China"	HKG	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																																																										
Honduras	HND	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															35.64521873					35.8994714					37.28007801					40.22052972					32.04558647	33.99040551	39.3399096	36.93455995	37.23794039	29.80712654	29.49751121	
Heavily indebted poor countries (HIPC)	HPC	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															45.3881764					45.17660042					45.40672231					40.52578241					39.76498762	42.03783095	42.37091646	40.93921685	39.40132958	57.92448943	59.51075499	
Croatia	HRV	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															24.83178629					19.98733513					18.06880206					17.58965253					17.5707472	16.89822007	17.24773194	18.67393754	20.09968777	19.84435617	19.81560787	
